filename,country,stamp_name,year
Australia1_Stamp.jpg,Australia,Australian Stamp 1,Unknown
Australia2_Stamp.jpg,Australia,Australian Stamp 2,Unknown
Australia3_Stamp.jpg,Australia,Australian Stamp 3,Unknown
Canada1_Stamp.jpg,Canada,Canadian Stamp 1,Unknown
Germany1_Stamp.jpg,Germany,German Stamp 1,Unknown
Germany2_Stamp.jpg,Germany,German Stamp 2,Unknown
India1_stamp.jpg,India,Indian Stamp 1,Unknown
India2_stamp.jpg,India,Indian Stamp 2,Unknown
India3_Stamp.jpg,India,Indian Stamp 3,Unknown
India4_Stamp.jpg,India,Indian Stamp 4,Unknown
UK1_Stamp.jpg,United Kingdom,British Stamp 1,Unknown
UK2_Stamp.jpg,United Kingdom,British Stamp 2,Unknown
UK3_Stamp.jpg,United Kingdom,British Stamp 3,Unknown
USA1_Stamp.jpg,USA,American Stamp 1,Unknown
USA2_Stamp.jpg,USA,American Stamp 2,Unknown
USA3_stamp.jpg,USA,American Stamp 3,Unknown
USA4_Stamp.jpg,USA,American Stamp 4,Unknown
